"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"southwestern-tx",1910,1921,12,78,23,49,6,0.333,0,0,0,0,0,-7.04,-1.44,0,0,""
"spring-hill",1919,1922,3,23,11,11,1,0.5,0,0,0,0,0,-3.17,-2.11,0,0,""
"springfield",1891,1892,2,21,9,11,1,0.452,0,0,0,0,0,-0.79,0.43,0,0,""
"stanford",1918,2023,103,1113,596,479,34,0.553,29,15,13,1,0.534,6.43,4.87,20,14,""
"stevens",1872,1891,19,123,36,74,13,0.346,0,0,0,0,0,-4.24,-0.35,0,0,""
"swarthmore",1888,1912,8,65,40,24,1,0.623,0,0,0,0,0,3.68,-0.98,0,0,""
"syracuse",1899,2023,122,1268,698,527,41,0.568,28,16,11,1,0.589,4.11,1.27,15,5,"record adjusted to 687-527-41 by NCAA"
"tampa",1966,1974,7,73,43,30,0,0.589,1,1,0,0,1,-3.53,-7.13,0,0,""
"temple",1930,2023,76,810,340,444,26,0.436,9,3,6,0,0.333,-3.35,-0.97,1,1,"record adjusted to 335-449-26 by NCAA"
"tennessee",1902,2023,119,1302,851,396,51,0.675,56,31,25,0,0.554,10.08,3.63,45,13,"record adjusted to 852-396-50 by NCAA"
"tennessee-medical-college",1904,1904,1,6,2,4,0,0.333,0,0,0,0,0,-9.28,2.06,0,0,""
"tennessee-state",1977,1977,1,10,8,1,1,0.85,0,0,0,0,0,3.58,-8.72,0,0,""
"texas",1902,2023,122,1313,897,382,32,0.696,59,31,26,2,0.542,11.9,4.17,50,31,"record adjusted to 898-382-31 by NCAA"
"texas-am",1903,2023,121,1293,756,491,44,0.603,43,20,23,0,0.465,7.96,3.29,28,18,""
"texas-arlington",1971,1981,11,120,49,71,0,0.408,0,0,0,0,0,-9.71,-6.19,0,1,""
"texas-christian",1903,2023,118,1272,664,554,50,0.543,36,18,17,1,0.514,2.91,1.86,21,17,"record adjusted to 664-553-50 by NCAA"
"texas-el-paso",1935,2023,86,945,344,581,18,0.374,15,5,10,0,0.333,-9.45,-5.08,0,2,""
"texas-san-antonio",2012,2023,12,149,80,69,0,0.537,5,1,4,0,0.2,-5.24,-5.29,0,2,""
"texas-southern",1977,1977,1,11,6,4,1,0.591,0,0,0,0,0,-5.98,-9.98,0,0,""
"texas-state",2012,2023,12,145,48,97,0,0.331,1,1,0,0,1,-11.39,-5.1,0,0,""
"texas-tech",1932,2023,92,1047,566,455,24,0.553,41,17,23,1,0.427,4,2.01,11,11,""
"toledo",1962,2023,62,715,420,285,8,0.595,21,11,10,0,0.524,-4.02,-7.09,4,12,"record adjusted to 422-283-8 by NCAA"
"trinity-ct",1887,1901,15,126,50,62,14,0.452,0,0,0,0,0,-4.52,-2.66,0,0,""
"troy",2001,2023,23,284,159,125,0,0.56,10,6,4,0,0.6,-3.07,-4.94,1,8,""
"tufts",1877,1905,17,178,70,103,5,0.407,0,0,0,0,0,-6.06,-2.49,0,0,""
"tulane",1902,2023,119,1228,540,651,35,0.455,16,7,9,0,0.438,0.4,1.82,8,5,"record adjusted to 539-652-35 by NCAA"
"tulsa",1917,2023,92,1011,511,481,18,0.515,23,11,12,0,0.478,-1.48,-2.21,8,27,""
"ucla",1928,2023,96,1072,615,409,31,0.598,38,17,20,1,0.461,9.04,5.56,32,17,"record adjusted to 608-416-31 by NCAA"
"union-ny",1894,1902,3,18,3,15,0,0.167,0,0,0,0,0,-10.45,3.85,0,0,""
"utah",1905,2023,117,1178,688,459,30,0.597,26,17,9,0,0.654,2.41,-1.78,11,26,""
"utah-state",1912,2023,109,1108,538,542,28,0.498,16,6,10,0,0.375,-4.88,-4.82,4,13,"record adjusted to 542-539-27 by NCAA"
"vanderbilt",1902,2023,120,1241,556,642,43,0.465,9,4,4,1,0.5,3.34,3.55,3,0,"record adjusted to 557-641-43 by NCAA"
"vermont",1901,1905,5,48,21,22,5,0.49,0,0,0,0,0,-3,-1.06,0,0,""
"villanova",1905,1980,59,547,270,260,17,0.509,5,2,2,1,0.5,-2.26,-3.09,3,0,""
"virginia",1890,2023,120,1250,602,611,37,0.496,21,8,13,0,0.381,0.99,0.6,9,2,""
"virginia-military-institute",1904,1981,70,684,306,344,34,0.472,0,0,0,0,0,-5.27,-4.03,1,7,""
"virginia-tech",1902,2023,120,1270,737,488,44,0.598,35,14,21,0,0.4,3.16,-0.95,20,8,"record adjusted to 738-487-44 by NCAA"
"wabash",1904,1905,2,17,8,9,0,0.471,0,0,0,0,0,4.55,1.77,0,0,""
"wake-forest",1908,2023,116,1194,482,681,31,0.417,17,11,6,0,0.647,-2.36,0.85,5,2,""
"washburn",1905,1940,7,68,29,38,1,0.434,0,0,0,0,0,-11.77,-8.8,0,0,""
"washington",1916,2023,107,1139,669,438,32,0.601,41,20,20,1,0.5,8.11,4.29,26,20,"record adjusted to 672-435-32 by NCAA"
"washington-jefferson",1905,1934,30,288,196,71,21,0.717,1,0,0,1,0.5,4.77,-2.83,0,0,""
"washington-lee",1907,1953,44,390,191,174,25,0.522,1,0,1,0,0,-0.76,-1.91,1,2,""
"washington-mo",1902,1942,40,331,147,165,19,0.473,0,0,0,0,0,-5.13,-4.22,0,3,""
"washington-state",1917,2023,104,1091,499,549,38,0.477,17,7,10,0,0.412,2.5,3.26,12,4,"record adjusted to 501-547-38 by NCAA"
"wesleyan-ct",1882,1905,24,217,92,118,7,0.44,0,0,0,0,0,0.49,3.84,0,0,""
"west-texas-am",1941,1985,44,447,212,225,9,0.485,4,4,0,0,1,-8.65,-8.69,0,4,""
"west-virginia",1909,2023,111,1213,693,467,41,0.594,40,17,23,0,0.425,3.98,0.5,20,15,""
"west-virginia-wesleyan",1913,1916,4,33,16,16,1,0.5,0,0,0,0,0,-1.55,-1.37,0,0,""
"western-carolina",1977,1981,5,55,25,28,2,0.473,0,0,0,0,0,-8,-8.33,0,0,""
"western-kentucky",2008,2023,16,205,106,99,0,0.517,10,7,3,0,0.7,-4.02,-5.09,1,2,""
"western-michigan",1962,2023,62,693,358,328,7,0.522,10,2,8,0,0.2,-6.45,-7.21,1,3,"record adjusted to 359-327-7 by NCAA"
"western-state",1924,1937,14,96,20,76,0,0.208,0,0,0,0,0,-20.15,-8.96,0,0,""
"whitman",1923,1924,2,12,2,10,0,0.167,0,0,0,0,0,-13.95,1.72,0,0,""
"wichita-state",1945,1986,42,433,167,254,12,0.4,3,0,3,0,0,-10.37,-6.4,0,5,"record adjusted to 168-253-12 by NCAA"
"william-mary",1922,1983,55,560,260,279,20,0.483,3,1,2,0,0.333,-4.63,-4.51,3,4,""
"williams",1886,1906,21,211,107,90,14,0.54,0,0,0,0,0,1.28,0.17,0,0,""
"wisconsin",1892,2023,132,1310,737,513,52,0.586,35,19,16,0,0.543,8.27,4.77,26,14,"record adjusted to 738-512-52 by NCAA"
"wofford",1914,1936,15,128,36,88,4,0.297,0,0,0,0,0,-13.04,-5.23,0,0,""
"wpi",1888,1893,2,11,3,7,1,0.318,0,0,0,0,0,-12.11,-1.48,0,0,""
"wyoming",1905,2023,112,1155,540,585,26,0.48,19,10,9,0,0.526,-4.52,-3.23,4,14,"record adjusted to 541-584-26 by NCAA"
"xavier",1935,1973,16,161,71,86,4,0.453,0,0,0,0,0,-11.6,-8.18,0,0,""
"yale",1872,1981,108,973,717,203,53,0.764,0,0,0,0,0,7.88,-1.09,4,11,""
